"Cargo type"," (Weight)"
"21011292",
"21011298",
"21012020",
"210130",
"2102","28796"
"210210",
"210220","240904.8"
"21022019","26566"
"21022090",
"210230",
"2103","90031.43"
"210310","48370.3"
"21031000",
"210320","18161.13"
"210330","190"
"210390","43845.518"
"2104","24984"
"210410","276556"
"210420",
"2105","80410"
"210500","52916.52"
"21050010",
"21050099",
"2106","147487.69"
"210600",
"210610","79748.779"
"21061020",
"210690","291734.121"
"21069020","20860.31"
"21069042",
"21069055",
"21069058",
"21069092",
"21069098",
"2124",
"220000",
"2201","33609"
"220110","89377.344"
"22011011",
"22011019",
"22011200",
"220190",
"22019000",
"2202","394096.94"
"220200",
"220210","374199.77"
"22021000","89962"
"2202100020",
"22029",
"220290",
"22029010",
"22029037",
"220291","241595.497"
"220299","157310.25"
"22029919",
"22029999",
"2203","1628696.38"
"220300","2604727.8"
"22030000",
"2203000060",
"22030001","17854199.78"
"22030009","53413.55"
"22030010",
"2204","6884252.74"
"220400",
"220401100",
"220410","292734.85"
"22041011","17042.64"
"2204101100",
"22041013",
"22041093",
"22041096",
"22041098",
"220421","6951790.382"
"22042106",
"22042120",
"22042132","43185"
"22042136",
"22042138",
"22042142","1149"
"22042144","19260"
"22042160",
"22042162",
"22042166",
"22042176",
"22042177",
"22042178",
"22042179","317160"
"22042180","302640"
"22042182",
"22042183","68304.78"
"22042184","46468.4"
"22042186","390"
"22042189",
"22042193",
"22042194",
"22042196",
"22042198",
"220422",
"22042204",
"22042294",
"220429","824927.74"
"22042910",
"22042920",
"22042988",
"220430",
"2205",
"22051",
"220510","10918.85"
"22051010",
"22056011",
"2206","676462.52"
"220600","1050331.57"
"22060031",
"22060039","18676.4"
"22060051","17392.32"
"22060059",
"22060089",
"220670",
"2207","162195"
"22071",
"220710","113244.25"
"22071000","1000000"
"220720",
"22072000","1071497"
"2208","17086644.009"
"220800",
"220820","851514.054"
"22082012","21794.4"
"2208201200","20158.3"
"22082014","38214"
"22082018","9624"
"22082019","7016"
"22082029",
"22082062",
"220830","3688061.99"
"22083011","140"
"2208301100",
"22083019",
"2208303",
"22083030","47719.93"
"220830300",
"22083041","2919"
"2208304100",
"2208306020",
"2208306055",
"22083061","1638"
"22083071","83625.9"
"2208307100",
"22083082","28709.286"
"22083088",
"22084",
"220840","172173.9"
"2208400",
"22084011","45223"
"22084020",
"22084031",
"22084039","18000"
"22084090",
"22084091",
"220850","140250.98"
"22085011","4310"
"220860","5858456.38"
"22086010",
"22086011","1622624.63"
"220870","667649.244"
"2208701",
"22087010","29496.4"
"220870100",
"2208701000",
"220890","959257.632"
"22089003",
"22089011",
"22089048",
"22089054","1496"
"22089056","130"
"22089069","190125"
"2208906900",
"22089075",
"2209",
"220900","16027"
"22090011",
"2216",
"2252","45440"
"2253","48280"
"2255","51920"
"2256","55160"
"2259","54200"
"2260","52980"
"2262","54200"
"22860",
"2301","2498294.2"
"230110","534596.09"
"23011000",
"230120","1968450"
"23012000","105000"
"2301200000",
"2302",
"230210",
"23021010",
"230230",
"23023010",
"23023090",
"230240","42596"
"23024002",
"23024090",
"230250",
"2303","10091754"
"230300",
"230310",
"23031000",
"23031011",
"230320",
"23032000",
"23032010","219466042"
"23032090",
"2304",
"230400","19920"
"23040000","56276809.106"
"23040090",
"2305",
"23061000",
"23062000",
"230630","3043808"
"23063000","291311331"
"230640",
"23064100",
"23064900","18973260"
"2306490000",
"230690",
"23069090",
"2307","5416"
"230700",
"2308","9389"
"230800","1788212"
"23080011","501220"
"23080019",
"23080090",
"2309","349969.36"
"230900",
"230910","259893"
"23091011","7800"
"23091013",
"23091031",
"2309103100","51278"
"2309105100","49958"
"23091090",
"230990","944578.8"
"23099010",
"23099031","17559.74"
"23099035","233840"
"23099039","24784"
"23099091",
"23099096","180981.63"
"2309909600",
"2313","44730"
"2323","53540"
"2324","51480"
"2328","55980"
"2329","49460"
"2339","55480"
"2340419",
"2380",
"2384","51600"
"2385","55960"
"240000",
"2401","148680"
"240100",
"240110","28628.2"
"24011060","5366.9"
"24011085",
"24011095","5474"
"240120","60628.6"
"24012035","103881.1"
"24012085","261412"
"240130","95742.1"
"2402","26276"
"240210",
"24021000",
"240220",
"240290",
"2403",
"240319",
"240391","1236"
"240399",
"24039990",
"2412","54380"
"2416","54640"
"2418","110420"
"2422","53120"
"2423","52240"
"2424","52320"
"2425","56960"
"2427","49460"
"2428","50000"
"2429","53220"
"2430","53140"
"244600",
"24490",
"2501","2300965"
"250100","24700"
"25010020",
"25010031",
"25010051",
"25010090",
"25010091","27500"
"25010099","7680000"
"2501009900",
"25020000",
"2503","2005850"
"2504",
"250410",
"2505",
"25050000",
"250510",
"25051019",
"25059000","11599110"
"2506",
"250610",
"25062000",
"2506200000",
"2507",
"250700",
"25070020",
"25070080",
"2508","714793"
"250810","342739"
"25081000",
"250830","1858.387"
"250840",
"25084000",
"250850","20227"
"25085000",
"250870",
"2509","27400"
"2510",
"25101000",
"25102000","33000000"
"251110",
"251120",
"2512",
"251200",
"251320",
"2514","14362"
"251400",
"2515","27000"
"251511",
"25151100",
"251512","28000"
"2516",
"251611",
"25161100",
"251612","27052"
"251620",
"25162000",
"251690",
"25169000","681700"
"2517",
"25171010","77673392"
"25171020",
"25171080","18716000"
"2517108000",
"2517190000",
"251720",
"251741","700060"
"251749","24750"
"25174900","35683072"
"2517490000",
"2518",
"25181000",
"2518100000","915100"
"251820",
"2519","286100"
"251910",
"251990","288720"
"25199010",
"25199030","66260"
"2520",
"252010",
"25201000","13180082"
"252020","41822.4"
"25202000","5925"
"2521",
"25210000","10584520"
"25222000","7918590"
"2523","1500"
"252310",
"25231000","4200010"
"252321","162480"
"25232100","1215000"
"252329",
"25232900","4628281220"
"25232910",
"252330","26700"
"252390",
"2524","655650"
"252510",
"252620",
"25262000",
"25280000","908443"
"252890",
"252910",
"2530","42870"
"253010",
"253090","2083476"
"25309000","121060"
"25502",
"257149000",
"2571490000",
"260111",
"26011100",
"260111000",
"26011200",
"2602","102235000"
