id,Stop_name,Stop_code,Common_code,Latitude,Longitude,Road_side,Road_number,Street,County,Parish,Village
"2719","Tautas nams","14318","3584","57.0815665","24.8290408","Labā","V58","","Siguldas novads","Allažu pagasts",""
"2720","Tautas nams","14319","3584","57.0820827","24.8292937","Kreisā","V58","","Siguldas novads","Allažu pagasts",""
"2722","Tehnoinform","15886","6705","56.9478088","23.6342685","Kreisā","","Jūrkalnes iela","Jūrmala","",""
"2723","Tehnoinform","15887","6705","56.9478152","23.6349551","Labā","","Jūrkalnes iela","Jūrmala","",""
"2724","Telšu iela","15888","6706","56.9591995","23.6255810","Kreisā","P128","Talsu šoseja","Jūrmala","",""
"2725","Telšu iela","15889","6706","56.9596451","23.6241311","Labā","P128","Talsu šoseja","Jūrmala","",""
"2726","Telšu pilsētiņa","14166","3261","56.9805710","23.5461765","Kreisā","P128","","Engures novads","Lapmežciema pagasts","Bigauņciems"
"2727","Telšu pilsētiņa","14167","3261","56.9814757","23.5452081","Labā","P128","","Engures novads","Lapmežciema pagasts","Bigauņciems"
"2728","Tērces iela","15890","6707","56.9429613","23.7026107","Labā","","Piekrastes iela","Jūrmala","",""
"2729","Tērces iela","15891","6707","56.9430351","23.7048779","Kreisā","","Piekrastes iela","Jūrmala","",""
"2730","Zvaņi","13000","589","56.4732990","23.3705994","Kreisā","V1112","","Tērvetes novads","Tērvetes pagasts",""
"2731","Zvaņi","12999","589","56.4728907","23.3695779","Labā","V1112","","Tērvetes novads","Tērvetes pagasts",""
"2732","Tevināni","14519","3837","56.5751873","26.9476446","Labā","V561","","Viļānu novads","Viļānu pagasts",""
"2733","Tevināni","14520","3837","56.5752343","26.9483251","Kreisā","V561","","Viļānu novads","Viļānu pagasts",""
"2734","Tīdi","15016","4853","56.2391286","21.2779078","Labā","P113","","Rucavas novads","Dunikas pagasts",""
"2735","Tīdi","15017","4853","56.2393067","21.2781828","Kreisā","P113","","Rucavas novads","Dunikas pagasts",""
"2736","Tihanišķi","8481","191","55.7287284","26.6112796","Kreisā","V691","","Daugavpils novads","Demenes pagasts",""
"2737","Tīlāni","14856","4405","56.6942115","26.0666332","Kreisā","P82","","Madonas novads","Ļaudonas pagasts",""
"2738","Tīlāni","14857","4405","56.6943323","26.0674194","Labā","P82","","Madonas novads","Ļaudonas pagasts",""
"2739","Tiltgali","14143","3214","58.0148272","25.3689148","Kreisā","V177","","Rūjienas novads","Lodes pagasts","Lode"
